;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;03/07/2023;0,0172;JRS CAP PROPRIO;01/08/2023 ;1;BBDC3
1;26/06/2023;0,1790;JRS CAP PROPRIO;06/07/2023 ;1;BBDC3
2;01/06/2023;0,0172;JRS CAP PROPRIO;03/07/2023 ;1;BBDC3
3;02/05/2023;0,0172;JRS CAP PROPRIO;01/06/2023 ;1;BBDC3
4;03/04/2023;0,0172;JRS CAP PROPRIO;02/05/2023 ;1;BBDC3
5;01/03/2023;0,0172;JRS CAP PROPRIO;03/04/2023 ;1;BBDC3
6;01/02/2023;0,0172;JRS CAP PROPRIO;01/03/2023 ;1;BBDC3
7;06/01/2023;0,5304;JRS CAP PROPRIO;08/03/2023 ;1;BBDC3
8;02/01/2023;0,0172;JRS CAP PROPRIO;01/02/2023 ;1;BBDC3
9;01/12/2022;0,0172;JRS CAP PROPRIO;02/01/2023 ;1;BBDC3
10;01/11/2022;0,0172;JRS CAP PROPRIO;01/12/2022 ;1;BBDC3
11;03/10/2022;0,0172;JRS CAP PROPRIO;01/11/2022 ;1;BBDC3
12;01/09/2022;0,0172;JRS CAP PROPRIO;03/10/2022 ;1;BBDC3
13;01/08/2022;0,0172;JRS CAP PROPRIO;01/09/2022 ;1;BBDC3
14;01/07/2022;0,0172;JRS CAP PROPRIO;01/08/2022 ;1;BBDC3
15;20/06/2022;0,1787;JRS CAP PROPRIO;30/06/2022 ;1;BBDC3
16;01/06/2022;0,0172;JRS CAP PROPRIO;01/07/2022 ;1;BBDC3
17;02/05/2022;0,0172;JRS CAP PROPRIO;01/06/2022 ;1;BBDC3
18;01/04/2022;0,0172;JRS CAP PROPRIO;02/05/2022 ;1;BBDC3
19;02/03/2022;0,0172;JRS CAP PROPRIO;01/04/2022 ;1;BBDC3
20;01/02/2022;0,0172;JRS CAP PROPRIO;02/03/2022 ;1;BBDC3
21;03/01/2022;0,0172;JRS CAP PROPRIO;01/02/2022 ;1;BBDC3
22;20/12/2021;0,0197;JRS CAP PROPRIO;30/12/2021 ;1;BBDC3
23;20/12/2021;0,1966;DIVIDENDO;30/12/2021 ;1;BBDC3
24;01/12/2021;0,0172;JRS CAP PROPRIO;03/01/2022 ;1;BBDC3
25;01/11/2021;0,0172;JRS CAP PROPRIO;01/12/2021 ;1;BBDC3
26;01/10/2021;0,0172;JRS CAP PROPRIO;01/11/2021 ;1;BBDC3
27;01/09/2021;0,0172;JRS CAP PROPRIO;01/10/2021 ;1;BBDC3
28;02/08/2021;0,0172;JRS CAP PROPRIO;01/09/2021 ;1;BBDC3
