Date;Open;High;Low;Close;Adj Close;Volume;ret;tret;Adj Low;Adj High;Adj Open;Returns;Target;Vol;MM20;Detrend
2010-01-04;123.0;124.0;119.0;119.5;118.32095336914062;42986;;;117.82095336914062;122.82095336914062;121.82095336914062;;0.12970717340432025;;;
2010-01-05;120.0;135.0;116.0;135.0;133.66802978515625;136404;12.97;12.97;114.66802978515625;133.66802978515625;118.66802978515625;0.12970717340432025;-0.02222220192811286;;;
2010-01-06;132.5;141.0;125.5;132.0;130.6976318359375;355362;-2.22;10.75;124.1976318359375;139.6976318359375;131.1976318359375;-0.02222220192811286;0.06439384033436846;;;
2010-01-07;131.0;143.5;129.5;140.5;139.11375427246094;227820;6.44;17.19;128.11375427246094;142.11375427246094;129.61375427246094;0.06439384033436846;0.1387900285610586;;;
2010-01-08;142.5;172.0;140.0;160.0;158.42135620117188;440970;13.88;31.07;138.42135620117188;170.42135620117188;140.92135620117188;0.1387900285610586;0.00937508849193569;;;
2010-01-11;166.5;176.5;160.5;161.5;159.9065704345703;244456;0.94;32.01;158.9065704345703;174.9065704345703;164.9065704345703;0.00937508849193569;0.02167174301934316;;;
2010-01-12;156.0;168.5;150.5;165.0;163.3720245361328;132908;2.17;34.18;148.8720245361328;166.8720245361328;154.3720245361328;0.02167174301934316;0.027272797746542787;;;
2010-01-13;164.0;174.5;164.0;169.5;167.82763671875;119054;2.73;36.91;162.32763671875;172.82763671875;162.32763671875;0.027272797746542787;0.061946846333111205;;;
2010-01-14;170.0;188.5;168.5;180.0;178.22402954101562;294036;6.19;43.099999999999994;166.72402954101562;186.72402954101562;168.22402954101562;0.061946846333111205;-0.05277776113026522;;;
2010-01-15;176.0;181.0;168.0;170.5;168.81776428222656;157488;-5.28;37.81999999999999;166.31776428222656;179.31776428222656;174.31776428222656;-0.05277776113026522;0.011730225158245844;;;
2010-01-18;171.5;178.5;171.0;172.5;170.79803466796875;47514;1.17;38.989999999999995;169.29803466796875;176.79803466796875;169.79803466796875;0.011730225158245844;-0.008695644405373848;;;
2010-01-19;174.0;177.5;170.5;171.0;169.31283569335938;35772;-0.87;38.12;168.81283569335938;175.81283569335938;172.31283569335938;-0.008695644405373848;-0.023391851865603774;;;
2010-01-20;170.0;171.0;160.0;167.0;165.352294921875;64862;-2.34;35.78;158.352294921875;169.352294921875;168.352294921875;-0.023391851865603774;0.029940124733678575;;;
2010-01-21;167.5;178.0;160.0;172.0;170.30296325683594;90056;2.99;38.77;158.30296325683594;176.30296325683594;165.80296325683594;0.029940124733678575;0.023255853543261207;;;
2010-01-22;172.0;178.0;171.0;176.0;174.2635040283203;68152;2.33;41.1;169.2635040283203;176.2635040283203;170.2635040283203;0.023255853543261207;0.03977266209904573;;;
2010-01-26;175.5;187.0;172.0;183.0;181.19442749023438;111130;3.98;45.08;170.19442749023438;185.19442749023438;173.69442749023438;0.03977266209904573;-0.0027321819947825343;;;
2010-01-27;185.0;194.5;181.0;182.5;180.69937133789062;105670;-0.27;44.809999999999995;179.19937133789062;192.69937133789062;183.19937133789062;-0.0027321819947825343;0.0;;;
2010-01-28;187.0;187.5;176.5;182.5;180.69937133789062;57750;0.0;44.809999999999995;174.69937133789062;185.69937133789062;185.19937133789062;0.0;0.0;;;
2010-01-29;185.0;186.0;177.0;182.5;180.69937133789062;20208;0.0;44.809999999999995;175.19937133789062;184.19937133789062;183.19937133789062;0.0;-0.00547950341461978;;;
2010-02-01;181.5;183.0;177.5;181.5;179.709228515625;24882;-0.55;44.26;175.709228515625;181.209228515625;179.709228515625;-0.00547950341461978;-0.027548214278436456;;163.57005767822267;16.139170837402332
2010-02-02;181.5;181.5;173.5;176.5;174.75856018066406;29426;-2.75;41.51;171.75856018066406;179.75856018066406;179.75856018066406;-0.027548214278436456;0.03399439289889439;0.7692;166.39193801879884;8.366622161865223
2010-02-03;175.5;187.0;174.5;182.5;180.69937133789062;38484;3.4;44.91;172.69937133789062;185.19937133789062;173.69937133789062;0.03399439289889439;-0.013698674093593488;0.6562;168.74350509643554;11.955866241455084
2010-02-04;182.5;187.5;166.0;180.0;178.22402954101562;67776;-1.37;43.54;164.22402954101562;185.72402954101562;180.72402954101562;-0.013698674093593488;-0.033333304794740504;0.6502;171.11982498168945;7.104204559326178
2010-02-05;173.5;178.5;168.0;174.0;172.28323364257812;25332;-3.33;40.21;166.28323364257812;176.78323364257812;171.78323364257812;-0.033333304794740504;-0.00287359019601352;0.6471;172.7782989501953;-0.4950653076171818
2010-02-08;176.5;182.0;170.0;173.5;171.7881622314453;33418;-0.29;39.92;168.2881622314453;180.2881622314453;174.7881622314453;-0.00287359019601352;-0.00864552571793864;0.4396;173.44663925170897;-1.6584770202636605
2010-02-09;176.5;178.0;172.0;172.0;170.30296325683594;17450;-0.86;39.06;170.30296325683594;176.30296325683594;174.80296325683594;-0.00864552571793864;-0.011627926771630603;0.4416;173.96645889282226;-3.6634956359863224
2010-02-10;174.0;174.0;166.0;170.0;168.32269287109375;18396;-1.16;37.900000000000006;164.32269287109375;172.32269287109375;172.32269287109375;-0.011627926771630603;0.023529452291483066;0.4392;174.2139923095703;-5.891299438476551
2010-02-11;170.0;174.0;170.0;174.0;172.28323364257812;12654;2.35;40.25000000000001;168.28323364257812;172.28323364257812;168.28323364257812;0.023529452291483066;0.00287359019601352;0.4366;174.43677215576173;-2.153538513183605
2010-02-12;171.5;174.5;170.0;174.5;172.77830505371094;8438;0.29;40.540000000000006;168.27830505371094;172.77830505371094;169.77830505371094;0.00287359019601352;-0.011461337030286178;0.3743;174.16448593139648;-1.3861808776855469
2010-02-17;172.5;178.0;171.5;172.5;170.79803466796875;15306;-1.15;39.39000000000001;169.79803466796875;176.29803466796875;170.79803466796875;-0.011461337030286178;0.14202897773870715;0.3243;174.26349945068358;-3.4654647827148324
