Date;Open;High;Low;Close;Adj Close;Volume;ret;tret;Adj Low;Adj High;Adj Open;Returns;Target;Vol;MM20;Detrend
2010-01-04;9.5;9.5;8.827500343322754;8.827500343322754;6.427480220794678;68000;;;6.427480220794678;7.099979877471924;7.099979877471924;;0.03936561582141285;;;
2010-01-05;9.0;9.3125;9.0;9.175000190734863;6.680501937866211;51200;3.94;3.94;6.505501747131348;6.818001747131348;6.505501747131348;0.03936561582141285;-0.0014987835855859721;;;
2010-01-06;9.037500381469727;9.161250114440918;8.942500114440918;9.161250114440918;6.670489311218262;15200;-0.15;3.79;6.451739311218262;6.670489311218262;6.54673957824707;-0.0014987835855859721;-0.03151855418138361;;;
2010-01-07;9.125;9.375;8.649999618530273;8.8725004196167;6.460245132446289;145600;-3.15;0.6400000000000001;6.237744331359863;6.96274471282959;6.71274471282959;-0.03151855418138361;-0.009580225029074185;;;
2010-01-08;8.868749618530273;8.868749618530273;8.4375;8.787500381469727;6.398354530334473;456800;-0.96;-0.31999999999999984;6.048354148864746;6.4796037673950195;6.4796037673950195;-0.009580225029074185;-0.00014204458649891283;;;
2010-01-11;8.875;8.875;8.78125;8.786250114440918;6.3974456787109375;403200;-0.01;-0.32999999999999985;6.3924455642700195;6.4861955642700195;6.4861955642700195;-0.00014204458649891283;-0.004125915594746066;;;
2010-01-12;8.755000114440918;8.774999618530273;8.376250267028809;8.75;6.3710503578186035;632000;-0.41;-0.7399999999999998;5.997300624847412;6.396049976348877;6.3760504722595215;-0.004125915594746066;-0.0022857466184759145;;;
2010-01-13;8.736249923706055;8.737500190734863;8.393750190734863;8.729999542236328;6.35648775100708;294400;-0.23;-0.9699999999999998;6.020238399505615;6.363988399505615;6.362738132476807;-0.0022857466184759145;0.0008590812017024163;;;
2010-01-14;8.723750114440918;8.737500190734863;8.723750114440918;8.737500190734863;6.361948490142822;233600;0.09;-0.8799999999999998;6.348198413848877;6.361948490142822;6.348198413848877;0.0008590812017024163;-0.012875606928600458;;;
2010-01-15;8.725000381469727;8.725000381469727;8.625;8.625;6.28003454208374;27200;-1.29;-2.17;6.28003454208374;6.380034923553467;6.380034923553467;-0.012875606928600458;0.02753620734466411;;;
2010-01-18;8.625;8.875;8.625;8.862500190734863;6.452962875366211;245600;2.75;0.5800000000000001;6.215462684631348;6.465462684631348;6.215462684631348;0.02753620734466411;0.050775875344458266;;;
2010-01-19;8.862500190734863;9.3125;8.626250267028809;9.3125;6.780617713928223;170400;5.08;5.66;6.094367980957031;6.780617713928223;6.330617904663086;0.050775875344458266;-0.00013417734729137543;;;
2010-01-20;9.3125;9.3125;9.061249732971191;9.311249732971191;6.779707908630371;121600;-0.01;5.65;6.529707908630371;6.78095817565918;6.78095817565918;-0.00013417734729137543;-0.014632779479758051;;;
2010-01-21;9.126250267028809;9.175000190734863;9.026249885559082;9.175000190734863;6.680501937866211;9600;-1.46;4.19;6.53175163269043;6.680501937866211;6.631752014160156;-0.014632779479758051;0.008173788089502754;;;
2010-01-22;9.012499809265137;9.25;9.012499809265137;9.25;6.735106945037842;4000;0.82;5.010000000000001;6.4976067543029785;6.735106945037842;6.4976067543029785;0.008173788089502754;-0.0005399112735895439;;;
2010-01-26;9.375;9.375;9.125;9.244999885559082;6.731470584869385;10400;-0.05;4.960000000000001;6.611470699310303;6.861470699310303;6.861470699310303;-0.0005399112735895439;0.005948961802353825;;;
2010-01-27;9.1875;9.300000190734863;9.125;9.300000190734863;6.771515846252441;38400;0.59;5.550000000000001;6.596515655517578;6.771515846252441;6.659015655517578;0.005948961802353825;-0.005376772651982997;;;
2010-01-28;9.1274995803833;9.25;9.1274995803833;9.25;6.735106945037842;128800;-0.54;5.010000000000001;6.612606525421143;6.735106945037842;6.612606525421143;-0.005376772651982997;0.0;;;
2010-01-29;9.1274995803833;9.25;9.126250267028809;9.25;6.735106945037842;27200;0.0;5.010000000000001;6.61135721206665;6.735106945037842;6.612606525421143;0.0;0.006757245172463344;;;
