;Acao;Data;Hora;Descrição;Link
26;VALE3;17/01/2023;18:03;Datas de divulgação do desempenho do 4T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1050246&descTipo=IPE&CodigoInstituicao=1
27;VALE3;17/01/2023;17:41;Datas de divulgação do desempenho do 4T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1050232&descTipo=IPE&CodigoInstituicao=1
28;VALE3;22/12/2022;19:16;Vale informa sobre composição do Comitê de Auditoria e Risco;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1044004&descTipo=IPE&CodigoInstituicao=1
29;VALE3;22/12/2022;19:05;Novo desenho da alta liderança da Vale para acelerar atingimento dos objetivos estratégicos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1043991&descTipo=IPE&CodigoInstituicao=1
30;VALE3;07/12/2022;11:08;Vale informa sobre atualização de projeções ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1038893&descTipo=IPE&CodigoInstituicao=1
31;VALE3;07/12/2022;09:18;Vale informa sobre atualização de projeções ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1038852&descTipo=IPE&CodigoInstituicao=1
32;VALE3;02/12/2022;20:57;Vale informa sobre ação de contribuição inglesa;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1037902&descTipo=IPE&CodigoInstituicao=1
33;VALE3;02/12/2022;14:10;Barragem B3/B4 é removida de condição crítica de segurança;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1037675&descTipo=IPE&CodigoInstituicao=1
34;VALE3;01/12/2022;18:33;Vale anuncia declaração de remuneração aos acionistas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1037358&descTipo=IPE&CodigoInstituicao=1
35;VALE3;30/11/2022;18:10;Vale Day 2022 em Nova Iorque;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1036947&descTipo=IPE&CodigoInstituicao=1
36;VALE3;17/11/2022;16:07;Vale e GM assinam contrato de longo prazo para fornecimento de níquel, crítico para a cadeia de veículos elétricos da América do Norte;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1033746&descTipo=IPE&CodigoInstituicao=1
37;VALE3;17/11/2022;09:09;Vale inicia geração de energia renovável do Sol do Cerrado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1033625&descTipo=IPE&CodigoInstituicao=1
38;VALE3;14/11/2022;09:06;Vale e grandes empresas se unem para restaurar, conservar e preservar 4 milhões de hectares de florestas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1032390&descTipo=IPE&CodigoInstituicao=1
39;VALE3;01/11/2022;08:25;Vale assina acordos para desenvolver Mega Hubs no Oriente Médio e prover soluções de descarbonização para siderurgia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1026365&descTipo=IPE&CodigoInstituicao=1
40;VALE3;17/10/2022;18:48;Produção e vendas da Vale no 3T22 ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1022588&descTipo=IPE&CodigoInstituicao=1
41;VALE3;07/10/2022;11:07;Datas de divulgação do desempenho do 3T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1020491&descTipo=IPE&CodigoInstituicao=1
42;VALE3;06/10/2022;09:16;Vale e SHS assinam Memorando de Entendimento para desenvolver soluções de descarbonização para a siderurgia ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1020110&descTipo=IPE&CodigoInstituicao=1
43;VALE3;05/10/2022;08:53;Vale esclarece as notícias de hoje;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1019798&descTipo=IPE&CodigoInstituicao=1
44;VALE3;30/09/2022;18:31;;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1018690&descTipo=IPE&CodigoInstituicao=1
45;VALE3;29/09/2022;18:08;Vale elimina mais três estruturas a montante e completa 40% do seu Programa de Descaracterização;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1018356&descTipo=IPE&CodigoInstituicao=1
46;VALE3;29/09/2022;17:24;Vale informa reorganização de níquel e cobre no Brasil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1018341&descTipo=IPE&CodigoInstituicao=1
