;Papel;Total_Acumulado
0;AALR3;3.43
1;ABCB4;10.89
2;ABEV3;0.93
3;ADHM3;0.0
4;AERI3;-7.27
5;AESB3;-2.68
6;AFLT3;1.02
7;AGRO3;11.0
8;AGXY3;-1.75
9;AHEB3;-0.05
10;ALLD3;22.74
11;ALPA3;-7.47
12;ALPA4;-11.21
13;ALPK3;61.75
14;ALSO3;19.08
15;ALUP11;0.73
16;ALUP3;2.68
17;ALUP4;1.56
18;AMAR3;41.83
19;AMER3;6.97
20;AMBP3;14.5
21;ANIM3;38.65
22;APER3;-1.45
23;ARML3;-4.07
24;ARZZ3;16.49
25;ASAI3;20.91
26;ATMP3;114.48
27;ATOM3;3.01
28;AURA33;1.66
29;AVLL3;70.7
30;AZEV3;42.52
31;AZEV4;40.51
32;AZUL4;23.41
33;B3SA3;10.3
34;BAHI3;5.82
35;BALM3;7.02
36;BALM4;4.57
37;BAUH4;-0.44
38;BAZA3;2.87
39;BBAS3;13.79
40;BBDC3;7.51
41;BBDC4;2.71
42;BBSE3;-1.4
43;BDLL3;-8.0
44;BDLL4;3.5
45;BEEF3;7.87
46;BEES3;23.39
47;BEES4;18.84
48;BGIP3;-17.83
49;BGIP4;11.37
50;BIOM3;6.58
51;BLAU3;-8.29
52;BMEB3;10.93
53;BMEB4;6.84
54;BMGB4;29.19
55;BMIN3;24.98
56;BMIN4;18.44
57;BMKS3;7.89
58;BMOB3;-1.7
59;BNBR3;6.23
60;BOAS3;4.43
61;BOBR4;6.06
62;BPAC11;18.77
63;BPAC3;19.42
64;BPAC5;20.04
65;BPAN4;34.91
66;BRAP3;2.54
67;BRAP4;3.69
68;BRBI11;27.62
69;BRFS3;31.55
70;BRGE11;6.97
71;BRGE12;0.0
72;BRGE3;0.58
73;BRGE5;0.0
74;BRGE6;-8.11
75;BRGE8;3.38
76;BRIT3;23.45
77;BRIV3;6.58
78;BRKM3;16.15
79;BRKM5;17.25
80;BRKM6;12.0
81;BRPR3;55.75
82;BRSR3;16.75
83;BRSR5;10.66
84;BRSR6;25.72
85;BSLI3;-8.47
86;BSLI4;4.72
87;CAMB3;18.49
88;CAML3;5.62
89;CASH3;-8.1
90;CBAV3;0.29
91;CBEE3;8.64
92;CCRO3;0.66
93;CEAB3;28.09
94;CEBR3;6.1
95;CEBR5;6.39
96;CEBR6;15.24
97;CEDO3;49.73
98;CEDO4;27.35
99;CEEB3;6.86
100;CEED3;-16.41
101;CEED4;0.0
102;CEGR3;-4.49
103;CGAS3;11.65
104;CGAS5;0.17
105;CGRA3;5.07
106;CGRA4;10.23
107;CIEL3;-6.97
108;CLSA3;10.26
109;CLSC3;12.2
110;CLSC4;11.39
111;CMIG3;1.71
112;CMIG4;6.43
113;CMIN3;-6.91
114;COCE3;3.45
115;COCE5;5.95
116;COGN3;20.39
117;CORR4;0.0
118;CPFE3;12.38
119;CPLE3;16.43
120;CPLE6;5.74
121;CRDE3;16.16
122;CRFB3;19.01
123;CRIV3;3.62
124;CRIV4;0.2
125;CRPG3;-19.39
126;CRPG5;14.49
127;CRPG6;14.68
128;CSAB3;-6.03
129;CSAB4;14.26
130;CSAN3;20.27
131;CSED3;25.94
132;CSMG3;5.99
133;CSNA3;3.99
134;CSRN3;19.03
135;CSRN5;14.44
136;CSRN6;-2.45
137;CSUD3;5.14
138;CTKA3;-15.19
139;CTKA4;-0.52
140;CTNM3;1.28
141;CTNM4;12.09
142;CTSA3;3.44
143;CTSA4;45.25
144;CURY3;17.74
145;CVCB3;29.31
146;CXSE3;0.85
147;CYRE3;12.42
148;DASA3;14.31
149;DESK3;41.74
150;DIRR3;11.05
151;DMVF3;24.46
152;DOHL3;0.0
153;DOHL4;-4.86
154;DOTZ3;78.62
155;DTCY3;7.47
156;EALT3;-3.75
157;EALT4;-0.8
158;ECOR3;-2.17
159;EGIE3;5.15
160;EKTR3;1.45
161;EKTR4;4.5
162;ELET3;9.55
163;ELET5;17.61
164;ELET6;10.18
165;ELMD3;1.66
166;EMAE4;8.98
167;EMBR3;1.62
168;ENAT3;4.45
169;ENBR3;3.6
170;ENEV3;6.71
171;ENGI11;10.89
172;ENGI3;15.87
173;ENGI4;10.23
174;ENJU3;15.27
175;ENMT3;-0.07
176;ENMT4;0.55
177;EPAR3;4.57
178;EQMA3B;15.88
179;EQPA3;-6.96
180;EQPA5;0.0
181;EQPA7;0.0
182;EQTL3;13.29
183;ESPA3;36.11
184;ESTR4;6.95
185;ETER3;1.06
186;EUCA3;38.97
187;EUCA4;15.56
188;EVEN3;13.34
189;EZTC3;15.86
190;FESA3;-3.08
191;FESA4;-3.8
192;FHER3;2.06
193;FIQE3;12.44
194;FLRY3;2.5
195;FRAS3;14.13
196;FRIO3;95.72
197;FRTA3;57.17
198;GEPA3;5.79
199;GEPA4;5.36
200;GETT11;0.0
201;GFSA3;22.68
202;GGBR3;11.52
203;GGBR4;8.07
204;GGPS3;14.85
205;GMAT3;15.27
206;GOAU3;14.13
207;GOAU4;9.3
208;GOLL4;45.59
209;GPIV33;16.85
210;GRND3;6.6
211;GSHP3;-5.5
212;GUAR3;61.37
213;HAGA3;32.05
214;HAGA4;23.21
215;HAPV3;11.53
216;HBOR3;35.41
217;HBRE3;31.16
218;HBSA3;15.5
219;HBTS5;38.45
220;HETA4;64.77
