;Papel;Total_Acumulado
0;AALR3;4.74
1;ABCB4;14.52
2;ABEV3;0.74
3;ADHM3;0.0
4;AERI3;13.29
5;AESB3;19.18
6;AFLT3;7.8
7;AGRO3;6.85
8;AGXY3;-21.43
9;AHEB3;10.45
10;ALLD3;42.4
11;ALPA3;21.34
12;ALPA4;15.19
13;ALPK3;157.32
14;ALSO3;36.73
15;ALUP11;15.11
16;ALUP3;16.47
17;ALUP4;15.47
18;AMAR3;44.32
19;AMER3;14.97
20;AMBP3;10.01
21;ANIM3;60.91
22;APER3;12.99
23;ARML3;27.79
24;ARZZ3;22.08
25;ASAI3;-0.6
26;ATMP3;109.33
27;ATOM3;6.16
28;AURA33;-8.46
29;AVLL3;95.49
30;AZEV3;46.94
31;AZEV4;52.6
32;AZUL4;50.1
33;B3SA3;23.52
34;BAHI3;32.77
35;BALM3;19.4
36;BALM4;2.81
37;BAUH4;-0.57
38;BAZA3;11.42
39;BBAS3;25.42
40;BBDC3;19.58
41;BBDC4;18.38
42;BBSE3;-10.55
43;BDLL3;18.83
44;BDLL4;13.03
45;BEEF3;11.83
46;BEES3;42.8
47;BEES4;40.63
48;BGIP3;-26.54
49;BGIP4;33.81
50;BIOM3;40.01
51;BLAU3;-15.06
52;BMEB3;17.02
53;BMEB4;6.7
54;BMGB4;38.86
55;BMIN3;37.48
56;BMIN4;12.94
57;BMKS3;4.5
58;BMOB3;0.1
59;BNBR3;9.68
60;BOAS3;3.77
61;BOBR4;43.85
62;BPAC11;36.59
63;BPAC3;35.33
64;BPAC5;40.46
65;BPAN4;56.88
66;BRAP3;-14.01
67;BRAP4;-15.0
68;BRBI11;45.56
69;BRFS3;45.46
70;BRGE11;8.24
71;BRGE12;1.38
72;BRGE3;2.32
73;BRGE5;0.0
74;BRGE6;-8.87
75;BRGE8;3.38
76;BRIT3;33.77
77;BRIV3;5.27
78;BRKM3;32.72
79;BRKM5;31.45
80;BRKM6;15.59
81;BRPR3;51.68
82;BRSR3;32.8
83;BRSR5;23.43
84;BRSR6;44.47
85;BSLI3;4.71
86;BSLI4;11.74
87;CAMB3;47.86
88;CAML3;-0.22
89;CASH3;-14.97
90;CBAV3;-8.76
91;CBEE3;13.82
92;CCRO3;6.99
93;CEAB3;71.94
94;CEBR3;26.86
95;CEBR5;24.58
96;CEBR6;33.15
97;CEDO3;60.78
98;CEDO4;118.74
99;CEEB3;16.74
100;CEED3;-16.41
101;CEED4;0.0
102;CEGR3;-3.59
103;CGAS3;0.57
104;CGAS5;1.04
105;CGRA3;4.48
106;CGRA4;11.14
107;CIEL3;2.74
108;CLSA3;16.76
109;CLSC3;24.39
110;CLSC4;20.4
111;CMIG3;1.2
112;CMIG4;7.2
113;CMIN3;-2.21
114;COCE3;-14.37
115;COCE5;17.29
116;COGN3;54.65
117;CORR4;2099.14
118;CPFE3;14.68
119;CPLE3;20.69
120;CPLE6;9.58
121;CRDE3;8.17
122;CRFB3;1.89
123;CRIV3;6.37
124;CRIV4;-0.01
125;CRPG3;-18.84
126;CRPG5;32.6
127;CRPG6;35.52
128;CSAB3;10.35
129;CSAB4;-5.11
130;CSAN3;26.19
131;CSED3;73.25
132;CSMG3;25.23
133;CSNA3;-17.16
134;CSRN3;11.68
135;CSRN5;5.87
136;CSRN6;2.36
137;CSUD3;32.53
138;CTKA3;-15.19
139;CTKA4;44.97
140;CTNM3;193.7
141;CTNM4;200.84
142;CTSA3;194.2
143;CTSA4;159.78
144;CURY3;22.32
145;CVCB3;15.33
146;CXSE3;13.25
147;CYRE3;37.01
148;DASA3;50.11
149;DESK3;53.7
150;DIRR3;13.71
151;DMVF3;43.79
152;DOHL3;0.0
153;DOHL4;27.94
154;DOTZ3;88.8
155;DTCY3;15.34
156;EALT3;19.58
157;EALT4;17.92
158;ECOR3;8.32
159;EGIE3;16.02
160;EKTR3;1.55
161;EKTR4;6.63
162;ELET3;15.93
163;ELET5;25.01
164;ELET6;20.52
165;ELMD3;-11.03
166;EMAE4;58.32
167;EMBR3;-10.05
168;ENAT3;13.32
169;ENBR3;7.0
170;ENEV3;11.74
171;ENGI11;19.37
172;ENGI3;18.67
173;ENGI4;23.76
174;ENJU3;45.24
175;ENMT3;7.63
176;ENMT4;4.68
177;EPAR3;35.66
178;EQMA3B;25.2
179;EQPA3;-10.01
180;EQPA5;0.26
181;EQPA7;-12.09
182;EQTL3;17.98
183;ESPA3;70.24
184;ESTR4;67.51
185;ETER3;17.78
186;EUCA3;72.16
187;EUCA4;29.03
188;EVEN3;46.64
189;EZTC3;36.11
190;FESA3;5.15
191;FESA4;-10.47
192;FHER3;10.85
193;FIQE3;19.7
194;FLRY3;16.93
195;FRAS3;35.98
196;FRIO3;110.29
197;FRTA3;67.71
198;GEPA3;25.14
199;GEPA4;12.92
200;GETT11;0.0
201;GFSA3;20.74
202;GGBR3;6.71
203;GGBR4;4.05
204;GGPS3;35.68
205;GMAT3;33.29
206;GOAU3;10.44
207;GOAU4;5.3
208;GOLL4;56.84
209;GPIV33;49.42
210;GRND3;17.48
211;GSHP3;16.42
212;GUAR3;68.55
213;HAGA3;42.27
214;HAGA4;33.15
215;HAPV3;53.64
216;HBOR3;66.22
217;HBRE3;41.61
218;HBSA3;44.57
219;HBTS5;51.28
220;HETA4;75.57
221;HOOT4;94.59
222;HYPE3;20.17
223;IFCM3;33.16
224;IGBR3;0.0
225;INEP3;0.74
226;INEP4;1.3
227;INTB3;2.68
228;IRBR3;88.49
229;ITSA3;16.5
230;ITSA4;16.43
231;ITUB3;17.54
232;ITUB4;15.07
233;JALL3;9.1
234;JBSS3;8.77
235;JHSF3;38.89
236;JOPA3;3.83
237;JOPA4;-1.38
238;JSLG3;29.81
239;KEPL3;4.36
240;KLBN11;18.33
241;KLBN3;19.89
242;KLBN4;18.16
243;KRSA3;9.58
244;LAVV3;34.86
245;LEVE3;47.1
246;LIGT3;152.52
247;LIPR3;3.95
248;LJQQ3;47.0
249;LOGG3;40.59
250;LOGN3;31.64
251;LPSB3;61.18
252;LREN3;23.36
253;LUPA3;-11.89
254;LUXM4;14.02
255;LVTC3;18.03
256;LWSA3;54.31
257;MAPT4;0.0
258;MATD3;27.31
259;MBLY3;89.61
260;MDIA3;48.68
261;MDNE3;71.47
262;MEAL3;27.85
263;MELK3;47.47
264;MERC3;99801.23
265;MERC4;25.28
266;MGEL4;39.79
267;MGLU3;-10.65
268;MILS3;30.05
269;MLAS3;74.54
270;MNDL3;0.5
271;MNPR3;40.31
272;MOAR3;14.84
273;MOVI3;40.11
274;MRFG3;12.54
275;MRSA3B;2.3
276;MRSA5B;2.44
277;MRVE3;67.86
278;MSPA3;0.12
279;MTRE3;83.32
280;MTSA4;18.39
281;MULT3;7.78
282;MWET3;-55.7
283;MWET4;6.51
284;MYPK3;1.13
285;NEOE3;39.25
286;NGRD3;53.38
287;NINJ3;59.71
288;NORD3;39.59
289;NTCO3;37.14
290;NUTR3;88.16
291;ODPV3;20.05
292;OFSA3;0.98
293;OIBR3;-2.37
294;OIBR4;-8.09
295;ONCO3;21.37
296;OPCT3;59.68
297;ORVR3;7.11
298;OSXB3;-1.2
299;PARD3;0.0
300;PATI3;-33.39
301;PATI4;-24.91
302;PCAR3;40.78
303;PDGR3;68.86
304;PDTC3;18.61
305;PEAB3;11.85
306;PEAB4;37.02
307;PETR3;30.74
308;PETR4;33.39
309;PETZ3;23.97
310;PFRM3;25.14
311;PGMN3;34.94
312;PINE4;62.11
313;PLAS3;12.62
314;PLPL3;48.26
315;PMAM3;28.02
316;PNVL3;31.15
317;POMO3;48.22
318;POMO4;41.39
319;PORT3;30.14
320;POSI3;31.52
321;PRIO3;11.27
322;PRNR3;29.59
323;PSSA3;24.93
324;PTBL3;31.21
325;PTNT3;10.72
326;PTNT4;29.53
327;QUAL3;25.57
328;RADL3;16.24
329;RAIL3;18.8
330;RAIZ4;33.74
331;RANI3;15.29
332;RAPT3;32.99
333;RAPT4;48.27
334;RCSL4;51.75
335;RDNI3;18.1
336;RDOR3;31.89
337;RECV3;-0.29
338;REDE3;17.54
339;RENT3;22.43
340;RNEW11;18.57
341;RNEW3;16.17
342;RNEW4;13.6
343;ROMI3;8.28
344;RPAD3;9.65
345;RPAD5;4.05
346;RPAD6;3.97
347;RPMG3;78.08
348;RRRP3;6.33
349;RSID3;54.75
350;RSUL4;-4.36
351;SANB11;11.27
352;SANB3;14.45
353;SANB4;10.91
354;SAPR11;17.71
355;SAPR3;17.69
356;SAPR4;19.15
357;SBFG3;55.73
358;SCAR3;24.24
359;SEER3;70.05
360;SEQL3;-14.51
361;SGPS3;160.02
362;SHOW3;72.31
363;SHUL4;38.03
364;SIMH3;22.08
365;SLCE3;4.18
366;SLED3;-12.64
367;SLED4;110.79
368;SMFT3;48.51
369;SMTO3;19.35
370;SNSY5;23.88
371;SOJA3;-0.05
372;SOMA3;39.62
373;SOND5;41.61
374;SOND6;31.4
375;SQIA3;39.26
376;STBP3;21.32
377;SUZB3;5.47
378;SYNE3;37.36
379;TAEE11;9.58
380;TAEE3;9.97
381;TAEE4;10.26
382;TASA3;1.73
383;TASA4;0.93
384;TCNO3;0.0
385;TCNO4;0.0
386;TCSA3;23.68
387;TECN3;22.68
388;TEKA3;0.0
389;TEKA4;28.57
390;TELB3;25.61
391;TELB4;15.18
392;TEND3;106.07
393;TFCO4;18.47
394;TGMA3;18.74
395;TIMS3;10.76
396;TKNO4;8.73
397;TOTS3;9.01
398;TPIS3;32.62
399;TRAD3;66.13
400;TRIS3;76.11
401;TRPL3;17.51
402;TRPL4;12.18
403;TTEN3;13.59
404;TUPY3;10.65
405;TXRX3;3.45
406;TXRX4;38.73
407;UCAS3;15.63
408;UNIP3;13.1
409;UNIP5;2.79
410;UNIP6;13.91
411;USIM3;-2.02
412;USIM5;3.13
413;USIM6;-6.17
414;VALE3;-21.92
415;VAMO3;-9.83
416;VBBR3;24.88
417;VSTE3;14.95
418;VIIA3;8.14
419;VITT3;10.42
420;VIVA3;32.12
421;VIVR3;-6.21
422;VIVT3;6.87
423;VLID3;36.42
424;VULC3;38.95
