;Papel;Total_Acumulado
0;AALR3;5.29
1;ABCB4;15.04
2;ABEV3;1.7
3;ADHM3;0.0
4;AERI3;-2.52
5;AESB3;9.12
6;AFLT3;9.31
7;AGRO3;10.89
8;AGXY3;-14.0
9;AHEB3;10.45
10;ALLD3;49.5
11;ALPA3;19.82
12;ALPA4;21.57
13;ALPK3;156.57
14;ALSO3;30.38
15;ALUP11;7.44
16;ALUP3;8.8
17;ALUP4;8.76
18;AMAR3;37.73
19;AMER3;11.19
20;AMBP3;20.88
21;ANIM3;75.76
22;APER3;5.56
23;ARML3;19.63
24;ARZZ3;36.3
25;ASAI3;23.33
26;ATMP3;116.59
27;ATOM3;-1.24
28;AURA33;-9.38
29;AVLL3;101.65
30;AZEV3;55.61
31;AZEV4;56.34
32;AZUL4;57.45
33;B3SA3;21.48
34;BAHI3;1.08
35;BALM3;18.28
36;BALM4;-4.21
37;BAUH4;-0.49
38;BAZA3;0.6
39;BBAS3;19.66
40;BBDC3;17.49
41;BBDC4;16.67
42;BBSE3;-5.17
43;BDLL3;-4.16
44;BDLL4;4.18
45;BEEF3;23.59
46;BEES3;31.62
47;BEES4;28.52
48;BGIP3;-20.75
49;BGIP4;25.46
50;BIOM3;41.25
51;BLAU3;11.25
52;BMEB3;17.82
53;BMEB4;9.05
54;BMGB4;35.37
55;BMIN3;33.33
56;BMIN4;21.34
57;BMKS3;6.57
58;BMOB3;0.1
59;BNBR3;9.59
60;BOAS3;5.71
61;BOBR4;22.48
62;BPAC11;33.69
63;BPAC3;32.06
64;BPAC5;38.55
65;BPAN4;53.42
66;BRAP3;0.54
67;BRAP4;3.07
68;BRBI11;45.0
69;BRFS3;49.67
70;BRGE11;7.83
71;BRGE12;0.47
72;BRGE3;4.99
73;BRGE5;0.0
74;BRGE6;1.6
75;BRGE8;3.38
76;BRIT3;15.0
77;BRIV3;10.87
78;BRKM3;40.34
79;BRKM5;38.64
80;BRKM6;12.12
81;BRPR3;50.44
82;BRSR3;25.57
83;BRSR5;23.32
84;BRSR6;36.72
85;BSLI3;-1.07
86;BSLI4;17.57
87;CAMB3;46.37
88;CAML3;3.5
89;CASH3;-3.96
90;CBAV3;9.02
91;CBEE3;7.26
92;CCRO3;2.39
93;CEAB3;66.7
94;CEBR3;11.91
95;CEBR5;10.67
96;CEBR6;22.49
97;CEDO3;64.67
98;CEDO4;104.81
99;CEEB3;9.7
100;CEED3;-16.41
101;CEED4;0.0
102;CEGR3;-4.49
103;CGAS3;6.22
104;CGAS5;2.79
105;CGRA3;2.44
106;CGRA4;12.05
107;CIEL3;-12.65
108;CLSA3;13.6
109;CLSC3;18.12
110;CLSC4;17.5
111;CMIG3;-11.37
112;CMIG4;5.54
113;CMIN3;5.03
114;COCE3;-14.91
115;COCE5;9.65
116;COGN3;53.23
117;CORR4;0.0
118;CPFE3;14.56
119;CPLE3;14.11
120;CPLE6;2.39
121;CRDE3;5.16
122;CRFB3;28.49
123;CRIV3;7.31
124;CRIV4;3.41
125;CRPG3;-18.84
126;CRPG5;28.81
127;CRPG6;23.93
128;CSAB3;-2.81
129;CSAB4;-5.11
130;CSAN3;32.45
131;CSED3;54.77
132;CSMG3;17.11
133;CSNA3;6.69
134;CSRN3;14.11
135;CSRN5;5.76
136;CSRN6;-2.45
137;CSUD3;19.53
138;CTKA3;-15.19
139;CTKA4;28.81
140;CTNM3;-5.73
141;CTNM4;36.48
142;CTSA3;-10.07
143;CTSA4;86.04
144;CURY3;34.12
145;CVCB3;25.8
146;CXSE3;8.17
147;CYRE3;31.29
148;DASA3;36.97
149;DESK3;51.17
150;DIRR3;26.4
151;DMVF3;43.73
152;DOHL3;0.0
153;DOHL4;29.46
154;DOTZ3;85.04
155;DTCY3;16.66
156;EALT3;-1.4
157;EALT4;8.56
158;ECOR3;0.64
159;EGIE3;9.2
160;EKTR3;-1.74
161;EKTR4;4.71
162;ELET3;16.6
163;ELET5;13.08
164;ELET6;18.18
165;ELMD3;-5.33
166;EMAE4;25.68
167;EMBR3;8.49
168;ENAT3;22.26
169;ENBR3;4.7
170;ENEV3;10.83
171;ENGI11;16.43
172;ENGI3;19.03
173;ENGI4;16.88
174;ENJU3;41.01
175;ENMT3;0.04
176;ENMT4;3.07
177;EPAR3;11.38
178;EQMA3B;18.69
179;EQPA3;-3.61
180;EQPA5;0.0
181;EQPA7;-12.37
182;EQTL3;20.03
183;ESPA3;61.51
184;ESTR4;46.68
185;ETER3;19.68
186;EUCA3;67.66
187;EUCA4;33.99
188;EVEN3;37.83
189;EZTC3;31.23
190;FESA3;-0.13
191;FESA4;3.43
192;FHER3;7.19
193;FIQE3;19.96
194;FLRY3;16.28
195;FRAS3;37.69
196;FRIO3;105.29
197;FRTA3;64.61
198;GEPA3;8.24
199;GEPA4;6.62
200;GETT11;0.0
201;GFSA3;32.65
202;GGBR3;14.45
203;GGBR4;12.71
204;GGPS3;35.1
205;GMAT3;45.16
206;GOAU3;17.49
207;GOAU4;15.08
208;GOLL4;60.0
209;GPIV33;29.76
210;GRND3;13.56
211;GSHP3;19.26
212;GUAR3;75.92
213;HAGA3;46.84
214;HAGA4;28.81
215;HAPV3;45.62
216;HBOR3;56.27
217;HBRE3;39.33
218;HBSA3;30.09
219;HBTS5;46.39
220;HETA4;52.67
221;HOOT4;99.04
222;HYPE3;23.21
